"Дата","Месяц","Гос. облигации (ОФЗ) Первичный рынок","Корпоративные Первичный рынок","Гос. облигации (ОФЗ) Вторичный рынок","Корпоративные Вторичный рынок","Ставка","Структурный профицит/дефицит","Доли нерезидентов","Cbonds-CBI RU BBB/ruAA- YTM eff","Cbonds-CBI RU BB/ruBBB YTM eff","Cbonds-CBI RU B/ruB- YTM eff","Cbonds-CBI RU High Yield YTM eff","Cbonds-GBI RU YTM eff"
"2014","3","0.00","30873466000.00","463997718522.36","459524459756.58","7.0","4449","22.20","8.65","9.08","10.58","","8.61"
"2014","4","7093811166.23","37490544000.00","306126918213.63","429572638455.69","7.5","4907","22.40","8.98","9.45","10.31","","9.17"
"2014","5","21946258605.29","68499800000.00","274346688019.14","241916445770.16","7.5","4792","23.20","9.15","9.66","10.48","","8.57"
"2014","6","29654156701.87","126003379280.00","253578418320.93","325246380730.69","7.5","4921","24.70","9.06","9.51","10.30","","8.38"
"2014","7","27571005690.87","52122185000.00","354870819233.23","356985216083.79","7.5","5174","25.60","9.62","9.99","11.18","","9.35"
"2014","8","0.00","46000000000.00","341309454532.60","263075100407.26","8.0","5030","24.90","9.70","10.23","11.52","","9.64"
"2014","9","8705000000.00","95564238226.00","299428551415.98","311675787771.59","8.0","5298","24.70","10.01","10.77","11.85","","9.32"
"2014","10","12380023774.11","142637408000.00","321048204290.03","395698417441.10","8.0","5812","24.30","11.00","14.16","12.47","","10.00"
"2014","11","1027019765.73","47300000000.00","254656048836.60","283222962151.66","9.5","6175","23.60","11.95","15.22","13.13","","10.53"
"2014","12","0.00","416487449000.00","300083988169.67","437623413640.78","17.0","6820","24.20","15.80","17.00","16.39","","13.94"
"2015","1","3408360074.71","33874683000.00","124397489942.82","133199030390.82","17.0","5594","18.70","16.28","15.96","19.10","","14.13"
"2015","2","47293412828.10","62692000000.00","228407011103.60","301060554509.25","15.0","5256","19.00","15.02","16.13","17.83","","13.38"
"2015","3","41553021564.75","45658300000.00","244625756816.78","397100514068.64","15.0","5234","17.90","14.05","14.70","15.40","","12.25"
"2015","4","98787143350.79","91776519000.00","306668020657.56","403807567928.06","14.0","5339","18.10","12.79","13.28","15.05","","10.86"
"2015","5","77852433005.28","164815322000.00","225411920859.62","358566601912.01","12.5","4664","18.00","12.03","12.71","14.54","","10.75"
"2015","6","45543557092.46","154905382000.00","309158043791.06","328857895263.21","12.5","4596","18.60","11.95","12.43","14.31","","11.12"
"2015","7","97411047349.09","184520368000.00","394431115068.45","359047088483.67","11.5","4215","20.30","11.98","12.38","14.53","","10.76"
"2015","8","27416611727.90","65124800000.00","256869908621.61","331960648774.76","11.0","4051","20.00","12.40","13.59","14.43","","11.65"
"2015","9","44529095077.24","129957515000.00","243495964325.23","406331319159.73","11.0","3932","20.70","12.06","12.78","14.18","","11.17"
"2015","10","69981997928.37","286241100000.00","419091687830.44","531563876497.91","11.0","3371","20.60","11.43","11.97","13.93","","10.11"
"2015","11","49050417784.70","142988250000.00","457094200813.48","344568389070.69","11.0","2890","20.80","11.26","12.60","14.10","","9.88"
"2015","12","46617725546.22","103631800000.00","367117793670.19","585662923658.56","11.0","3050","21.50","11.21","12.26","14.00","","9.80"
"2016","1","61446981885.11","40891852000.00","391313471539.67","210897906011.21","11.0","2393","21.50","11.51","12.48","14.41","","10.19"
"2016","2","73901337904.07","84475000000.00","396049432766.13","285768644302.06","11.0","1522","21.00","11.21","12.21","14.30","","9.72"
"2016","3","107731551356.09","111749218000.00","487668168241.51","339429321958.71","11.0","1598","21.50","10.96","11.67","14.06","","9.24"
"2016","4","96167693765.66","330372179000.00","436286221813.76","500321194422.96","11.0","1061","22.30","10.61","11.05","13.13","","9.09"
"2016","5","67067954860.23","116400000000.00","323177507711.63","284140085335.74","11.0","1004","22.60","10.29","11.24","12.90","","9.08"
"2016","6","97755896301.92","152585785172.50","465333121541.13","400385319990.86","11.0","709","24.50","10.21","10.81","12.30","","8.61"
"2016","7","96692704759.85","123349980000.00","396845156522.12","297087423415.94","10.5","810","25.40","9.95","10.51","12.34","","8.70"
"2016","8","91552094541.75","112710000000.00","376508028864.97","279159429216.75","10.5","516","24.80","9.80","10.29","11.95","","8.44"
"2016","9","105887353607.63","174900532000.00","540439518057.95","373490523650.00","10.5","591","26.00","9.70","10.13","11.50","","8.34"
"2016","10","40209081987.56","113700000000.00","281290195575.12","557451240950.57","10.0","221","27.00","9.73","10.42","11.63","","8.68"
"2016","11","89197546066.57","89744343000.00","336116672429.30","284650381344.33","10.0","479","26.80","9.35","10.65","11.60","","8.89"
"2016","12","139812601345.87","231088314242.70","529779292411.38","360291163661.67","10.0","1247","25.60","9.34","10.43","11.41","","8.38"
"2017","1","119308458520.25","26097365000.00","320801183790.09","214885961766.01","10.0","-147","26.90","9.51","10.23","11.75","","8.22"
